# freq(Hz) power xerr yerr yfit comp1 comp2
3.125000000000000000e-02 1.770419030678426209e-01 1.562500000000000000e-02 3.740547965146130433e-03 1.698555227449189409e-01 1.440548740557392182e-01 2.580064868917971918e-02
6.250000000000000000e-02 1.662168752294893859e-01 1.562500000000000000e-02 3.973384084678017146e-03 1.777930602223733170e-01 1.520311506616923436e-01 2.576190956068097684e-02
9.375000000000000000e-02 1.738025581399098574e-01 1.562500000000000000e-02 4.706779295072857118e-03 1.746865509915943859e-01 1.489889487749118113e-01 2.569760221668257114e-02
1.406250000000000000e-01 1.576894088870788302e-01 1.562500000000000000e-02 2.822959668883232541e-03 1.529739279240950878e-01 1.274198499472629365e-01 2.555407797683213744e-02
1.875000000000000000e-01 1.226029737801032360e-01 1.562500000000000000e-02 4.001152475866070514e-03 1.243081442107853984e-01 9.895232768908555909e-02 2.535581652169983241e-02
2.343750000000000000e-01 9.649659020954194644e-02 1.562500000000000000e-02 2.557640938425421052e-03 9.926007150910688692e-02 7.415468675831243806e-02 2.510538475079445234e-02
2.812500000000000000e-01 8.656637159831055695e-02 1.562500000000000000e-02 3.446914541539657442e-03 8.040345775902360548e-02 5.559751842962056684e-02 2.480593932940303170e-02
3.281250000000000000e-01 6.690865153585398573e-02 1.562500000000000000e-02 2.532015789432291112e-03 6.681759649584910477e-02 4.235646568979779120e-02 2.446113080605131704e-02
4.062500000000000000e-01 4.845651111185567128e-02 1.562500000000000000e-02 1.985114978525961277e-03 5.198727316784745867e-02 2.819053044077726375e-02 2.379674272707019145e-02
4.843750000000000000e-01 4.067851586685539145e-02 1.562500000000000000e-02 2.352802297356018472e-03 4.285856524996210781e-02 1.982068793741446899e-02 2.303787731254763535e-02
5.625000000000000000e-01 3.913386032292168887e-02 1.562500000000000000e-02 1.870924303266440327e-03 3.679396010330018840e-02 1.458843703733527647e-02 2.220552306596491540e-02
6.406250000000000000e-01 3.188120328000262210e-02 1.562500000000000000e-02 2.438613582609036167e-03 3.246129793766122651e-02 1.114104148424375183e-02 2.132025645341747294e-02
7.343750000000000000e-01 2.979996403509361375e-02 1.562500000000000000e-02 1.689656126573887106e-03 2.859556269643339504e-02 8.380555353416590733e-03 2.021500734301680605e-02
8.437500000000000000e-01 2.562954289157299767e-02 1.562500000000000000e-02 1.877479290167409455e-03 2.517294589190867404e-02 6.270080674882874336e-03 1.890286521702579797e-02
