# freq(Hz) power xerr yerr yfit comp1 comp2
9.531250000000000000e-01 2.422432170969615259e-02 1.562500000000000000e-02 1.605992002288122262e-03 2.246204056043738656e-02 4.860077258372105802e-03 1.760196330206528076e-02
1.078125000000000000e+00 1.785096847757351030e-02 1.562500000000000000e-02 1.636094160172929654e-03 1.992250057001053454e-02 3.757757068766268745e-03 1.616474350124426709e-02
1.218750000000000000e+00 1.713070746511776571e-02 1.562500000000000000e-02 1.465246889433162447e-03 1.755446556330149399e-02 2.910758500070180846e-03 1.464370706323131488e-02
1.375000000000000000e+00 1.792209448068381172e-02 1.562500000000000000e-02 1.399377671794825324e-03 1.536271968486385697e-02 2.265346422022906751e-03 1.309737326284095109e-02
1.531250000000000000e+00 1.221046948901291507e-02 1.562500000000000000e-02 1.457024687034073635e-03 1.352398085323313834e-02 1.812327001384395715e-03 1.171165385184874327e-02
1.703125000000000000e+00 1.216200742341363300e-02 1.562500000000000000e-02 1.207010598045719181e-03 1.182313027386236101e-02 1.454442325734607491e-03 1.036868794812775309e-02
1.906250000000000000e+00 8.954651683790827016e-03 1.562500000000000000e-02 1.244401673826315289e-03 1.015942066537936159e-02 1.152806458924769640e-03 9.006614206454592597e-03
2.125000000000000000e+00 8.098648966308345798e-03 1.562500000000000000e-02 1.376805826908685014e-03 8.699582066368970190e-03 9.218792527245049662e-04 7.777702813644466091e-03
2.375000000000000000e+00 6.183271159991624716e-03 1.562500000000000000e-02 1.254238690281379333e-03 7.358248790369501142e-03 7.336835434948620191e-04 6.624565246874639449e-03
2.640625000000000000e+00 4.804872433284034482e-03 1.562500000000000000e-02 1.168779486613188111e-03 6.225619363731217833e-03 5.904657624857510573e-04 5.635153601245466992e-03
2.921875000000000000e+00 5.540014914796139237e-03 1.562500000000000000e-02 1.107920037225766608e-03 5.274417091979557645e-03 4.801055661407349173e-04 4.794311525838822891e-03
3.250000000000000000e+00 3.472232071368832728e-03 1.562500000000000000e-02 1.013708005202118567e-03 4.404570416402127202e-03 3.863853651670570146e-04 4.018185051235070512e-03
3.609375000000000000e+00 5.322735812699750692e-03 1.562500000000000000e-02 1.128479770433014418e-03 3.668795183414753306e-03 3.120630029759663263e-04 3.356732180438787034e-03
4.000000000000000000e+00 3.411597915880661396e-03 1.562500000000000000e-02 9.109614018233796453e-04 3.054006502166663022e-03 2.532127710752731312e-04 2.800793731091389890e-03
4.437500000000000000e+00 4.579080093493824791e-03 1.562500000000000000e-02 8.647140190267849644e-04 2.528090569384028839e-03 2.050920321780807371e-04 2.322998537205948292e-03
4.906250000000000000e+00 1.846145913962203003e-03 1.562500000000000000e-02 8.643375955963190785e-04 2.099258279370761014e-03 1.673056700248196419e-04 1.931952609345941345e-03
5.421875000000000000e+00 1.252491915058898120e-03 1.562500000000000000e-02 7.853906892809241810e-04 1.740358059512537702e-03 1.366497365216797443e-04 1.603708322990857931e-03
6.000000000000000000e+00 1.915681543432940382e-03 1.562500000000000000e-02 7.598916058393727618e-04 1.435968247784456288e-03 1.113238587053935801e-04 1.324644389079062626e-03
6.625000000000000000e+00 1.193338145219252589e-03 1.562500000000000000e-02 7.264326433326903426e-04 1.187737694058658543e-03 9.112005926448819577e-05 1.096617634794170388e-03
7.312500000000000000e+00 7.809440265458035286e-04 1.562500000000000000e-02 6.936216463336153772e-04 9.816645536605856249e-04 7.465055797250004358e-05 9.070139956880856084e-04
8.078125000000000000e+00 -8.838158456072908210e-04 1.562500000000000000e-02 6.389327366217440038e-04 8.090428549592679295e-04 6.106473863456182271e-05 7.479781163247061068e-04
8.921875000000000000e+00 1.866379581338703780e-03 1.562500000000000000e-02 6.087797575519111144e-04 6.663946809209991134e-04 4.998230655678337299e-05 6.164123743642157269e-04
9.843750000000000000e+00 1.271366966135214702e-03 1.562500000000000000e-02 5.857423748847909520e-04 5.495323999630621643e-04 4.100083708674859815e-05 5.085315628763135932e-04
1.085937500000000000e+01 9.538954635047775963e-04 1.562500000000000000e-02 5.635081469829413339e-04 4.529785773158736401e-04 3.364697554201418389e-05 4.193316017738594765e-04
1.196875000000000000e+01 9.105145546924143596e-04 1.562500000000000000e-02 5.271211253234296635e-04 3.738598801158105121e-04 2.766656175043614478e-05 3.461933183653743843e-04
1.320312500000000000e+01 -3.133200242600735121e-04 1.562500000000000000e-02 5.029900616834548192e-04 3.078800131152883827e-04 2.271108402312360612e-05 2.851689290921647800e-04
1.456250000000000000e+01 2.008843834836056524e-04 1.562500000000000000e-02 5.360080871414361382e-04 2.535268937073422465e-04 1.865094340459396991e-05 2.348759503027482529e-04
1.604687500000000000e+01 1.196376175718422504e-04 1.562500000000000000e-02 4.623410504360056430e-04 2.090902653725368169e-04 1.534669307998154427e-05 1.937435722925552693e-04
1.767187500000000000e+01 4.235239816602092062e-04 1.562500000000000000e-02 4.464942155179593523e-04 1.726055784182385362e-04 1.264415468091113717e-05 1.599614237373273940e-04
1.946875000000000000e+01 -4.128654375744877643e-04 1.562500000000000000e-02 4.160555252915496514e-04 1.423510238733108324e-04 1.041041127010697000e-05 1.319406126032038557e-04
2.145312500000000000e+01 5.829778598956259893e-04 1.562500000000000000e-02 4.047314011983131491e-04 1.173270360936141238e-04 8.568000944204892184e-06 1.087590351494092283e-04
2.362500000000000000e+01 2.845641919358284045e-04 1.562500000000000000e-02 3.815654094653411874e-04 9.680873879891250839e-05 7.060915874225416863e-06 8.974782292468708644e-05
2.601562500000000000e+01 9.457407000399264529e-04 1.562500000000000000e-02 3.687077569786160938e-04 7.987635499372413303e-05 5.819739152180020852e-06 7.405661584154411218e-05
2.864062500000000000e+01 4.219742585346347632e-04 1.562500000000000000e-02 3.552162413101873765e-04 6.593386369565969044e-05 4.799501428519299014e-06 6.113436226714038634e-05
3.100000000000000000e+01 7.083436772070454907e-04 1.562500000000000000e-02 4.111339507624111786e-04 5.629608582961713356e-05 4.095231505227246682e-06 5.220085432438988603e-05
