# freq(Hz) power xerr yerr yfit comp1 comp2 comp3 comp4
5.625000000000000000e-01 3.545888214641777780e-02 1.562500000000000000e-02 1.578870592505126139e-03 3.723529367717139799e-02 1.249793679222413294e-02 1.164227699705524914e-02 8.081114149612099104e-03 5.013965738279916803e-03
6.406250000000000000e-01 3.235755291345028539e-02 1.562500000000000000e-02 1.912434643513926790e-03 3.203766973145394381e-02 9.543794359561813892e-03 7.934549577988172023e-03 9.485246923315388684e-03 5.074078870588570080e-03
7.343750000000000000e-01 2.834250606533180589e-02 1.562500000000000000e-02 1.266779575441847380e-03 2.836327721054336323e-02 7.189368186622220082e-03 5.064028961444974782e-03 1.097098538018377936e-02 5.138894682292390742e-03
8.437500000000000000e-01 2.665059108419061754e-02 1.562500000000000000e-02 1.475138916772116742e-03 2.554001554914347299e-02 5.391957603241652984e-03 3.195807954041745506e-03 1.174869893119054147e-02 5.203551060669533469e-03
9.531250000000000000e-01 2.138228498894421264e-02 1.562500000000000000e-02 1.224582026779288089e-03 2.265294819580752905e-02 4.190242323110638344e-03 2.160251365641758375e-03 1.104697846314450435e-02 5.255476043910627983e-03
1.078125000000000000e+00 2.022333863958929168e-02 1.562500000000000000e-02 1.304110055997164839e-03 1.905762640143740527e-02 3.248981750062300642e-03 1.477856499880445245e-03 9.032591668820625155e-03 5.298196482674035097e-03
1.218750000000000000e+00 1.577736149760215062e-02 1.562500000000000000e-02 1.110616981222067607e-03 1.548781207694937406e-02 2.523853243608798012e-03 1.029784166797556837e-03 6.610154980270455116e-03 5.324019686272564097e-03
1.375000000000000000e+00 1.102619188867924940e-02 1.562500000000000000e-02 1.035684700365303553e-03 1.260222851618641657e-02 1.969664342642876188e-03 7.324840759103084641e-04 4.575759828230665030e-03 5.324320269402567536e-03
1.531250000000000000e+00 1.176011597969280932e-02 1.562500000000000000e-02 1.291205424128002380e-03 1.065541603939062706e-02 1.579522738170784351e-03 5.464812009588876883e-04 3.234662866702909222e-03 5.294749233558045803e-03
1.703125000000000000e+00 9.689143323521382314e-03 1.562500000000000000e-02 1.045259684353491399e-03 9.206868579398005265e-03 1.270449155163434068e-03 4.127980600950540693e-04 2.294699114083003765e-03 5.228922250056512386e-03
1.906250000000000000e+00 9.567939150605015569e-03 1.562500000000000000e-02 1.813443401894233257e-03 8.036279627154222990e-03 1.009220371723567201e-03 3.093226595392916745e-04 1.608053434726436403e-03 5.109683161164928038e-03
2.125000000000000000e+00 8.520254337511074319e-03 1.562500000000000000e-02 1.002115032359662946e-03 7.136689416424509338e-03 8.086773620330937667e-04 2.359108246051588235e-04 1.154209191529893081e-03 4.937892038256363504e-03
2.375000000000000000e+00 5.223368382826882109e-03 1.562500000000000000e-02 8.120496477282187348e-04 6.355136438102156060e-03 6.448187209841943490e-04 1.799239922161926359e-04 8.320264627922001029e-04 4.698367262109569460e-03
2.640625000000000000e+00 5.080529459658604877e-03 1.562500000000000000e-02 8.842715751525720034e-04 5.684894357853634977e-03 5.198187989393826579e-04 1.397195505294077686e-04 6.158264196793512574e-04 4.409529588705493781e-03
2.921875000000000000e+00 5.015955516761498936e-03 1.562500000000000000e-02 8.064658001250765706e-04 5.083510879329278948e-03 4.232879224512538924e-04 1.102203215009674484e-04 4.663853984449233643e-04 4.083617236932133958e-03
3.250000000000000000e+00 4.451387101515866251e-03 1.562500000000000000e-02 8.109043164636693841e-04 4.477756420184411841e-03 3.411463877974198439e-04 8.623392871417549517e-05 3.512724786452076911e-04 3.699103625027608689e-03
3.609375000000000000e+00 3.244557770256686468e-03 1.562500000000000000e-02 7.282455294346776081e-04 3.905668746005080353e-03 2.758817446749985960e-04 6.794758936591081626e-05 2.677738715263460584e-04 3.294065540437824801e-03
4.000000000000000000e+00 3.478268585880688220e-03 1.562500000000000000e-02 7.455075726648969104e-04 3.374341378491767761e-03 2.241140264910289641e-04 5.395880551180743686e-05 2.066340458676279202e-04 2.889634500621303392e-03
4.437500000000000000e+00 4.389792688855481337e-03 1.562500000000000000e-02 6.608335025300546717e-04 2.875151709971903585e-03 1.817173486054459374e-04 4.286458296494036750e-05 1.599925637213190234e-04 2.490577214680198426e-03
4.906250000000000000e+00 2.636248476225110451e-03 1.562500000000000000e-02 7.188910579077806067e-04 2.435333815325056630e-03 1.483776438414753521e-04 3.438535155621686026e-05 1.255491935431911040e-04 2.127021626384173469e-03
