Modulation_Angle(rad) G_real_span dG_span G_null_real_cpf G_null_real Fit_full_real frac_rms d_frac_rms frac_rms_model frac_rms_null frac_rms_null_cpf G_im_span G_null_imag G_null_imag_cpf Fit_full_imag phase_lag d_phase_lag phase_lag_model phase_lag_null phase_lag_null_cpf
-1.492257e+00 1.024291e+00 7.050681e-02 1.019658e+00 1.015270e+00 1.003498e+00 7.654066e-01 5.256235e-02 7.503677e-01 7.568152e-01 7.565224e-01 -7.046435e-02 0.000000e+00 0.000000e+00 1.604598e-02 -1.093157e-02 1.092956e-02 2.544678e-03 0.000000e+00 0.000000e+00
-1.335177e+00 1.020988e+00 7.023132e-02 1.019658e+00 1.018118e+00 1.013310e+00 7.745286e-01 5.246848e-02 7.556096e-01 7.568152e-01 7.565224e-01 1.800381e-01 0.000000e+00 0.000000e+00 1.941220e-02 2.777935e-02 1.078155e-02 3.048591e-03 0.000000e+00 0.000000e+00
-1.178097e+00 9.619554e-01 7.084681e-02 1.019658e+00 1.021154e+00 1.023783e+00 7.105525e-01 5.233033e-02 7.609285e-01 7.568152e-01 7.565224e-01 -5.843123e-03 0.000000e+00 0.000000e+00 2.087821e-02 -9.667293e-04 1.172135e-02 3.245230e-03 0.000000e+00 0.000000e+00
-1.021018e+00 9.640156e-01 7.062090e-02 1.019658e+00 1.024083e+00 1.033890e+00 7.222085e-01 5.239332e-02 7.657952e-01 7.568152e-01 7.565224e-01 -1.353011e-01 0.000000e+00 0.000000e+00 2.030052e-02 -2.219268e-02 1.154605e-02 3.124621e-03 0.000000e+00 0.000000e+00
-8.639380e-01 1.065477e+00 7.083186e-02 1.019658e+00 1.026617e+00 1.042642e+00 7.905373e-01 5.225161e-02 7.697437e-01 7.568152e-01 7.565224e-01 -1.148225e-01 0.000000e+00 0.000000e+00 1.773567e-02 -1.708561e-02 1.051956e-02 2.707015e-03 0.000000e+00 0.000000e+00
-7.068583e-01 1.071532e+00 7.076642e-02 1.019658e+00 1.028509e+00 1.049183e+00 7.897439e-01 5.214676e-02 7.724119e-01 7.568152e-01 7.565224e-01 2.070749e-02 0.000000e+00 0.000000e+00 1.343473e-02 3.075307e-03 1.050900e-02 2.037859e-03 0.000000e+00 0.000000e+00
-5.497787e-01 1.112502e+00 7.064913e-02 1.019658e+00 1.029573e+00 1.052873e+00 8.228659e-01 5.212595e-02 7.735677e-01 7.568152e-01 7.565224e-01 -7.859908e-02 0.000000e+00 0.000000e+00 7.818710e-03 -1.122576e-02 1.008196e-02 1.181874e-03 0.000000e+00 0.000000e+00
-3.926991e-01 1.050115e+00 7.117300e-02 1.019658e+00 1.029705e+00 1.053350e+00 7.701518e-01 5.208597e-02 7.731212e-01 7.568152e-01 7.565224e-01 6.895042e-02 0.000000e+00 0.000000e+00 1.437336e-03 1.043512e-02 1.076377e-02 2.171728e-04 0.000000e+00 0.000000e+00
-2.356194e-01 1.064737e+00 7.099867e-02 1.019658e+00 1.028892e+00 1.050568e+00 7.819215e-01 5.213493e-02 7.711251e-01 7.568152e-01 7.565224e-01 1.482291e-02 0.000000e+00 0.000000e+00 -5.084734e-03 2.215558e-03 1.061172e-02 -7.703018e-04 0.000000e+00 0.000000e+00
-7.853982e-02 1.084192e+00 7.089106e-02 1.019658e+00 1.027213e+00 1.044798e+00 7.952775e-01 5.199803e-02 7.677662e-01 7.568152e-01 7.565224e-01 -9.594219e-03 0.000000e+00 0.000000e+00 -1.110907e-02 -1.408355e-03 1.040611e-02 -1.692190e-03 0.000000e+00 0.000000e+00
7.853982e-02 1.021317e+00 7.096712e-02 1.019658e+00 1.024834e+00 1.036606e+00 7.516751e-01 5.221891e-02 7.633508e-01 7.568152e-01 7.565224e-01 -2.183204e-02 0.000000e+00 0.000000e+00 -1.604598e-02 -3.401637e-03 1.105650e-02 -2.463417e-03 0.000000e+00 0.000000e+00
2.356194e-01 9.858528e-01 7.068524e-02 1.019658e+00 1.021987e+00 1.026794e+00 7.304187e-01 5.225990e-02 7.582820e-01 7.568152e-01 7.565224e-01 -6.423631e-02 0.000000e+00 0.000000e+00 -1.941220e-02 -1.035560e-02 1.138720e-02 -3.008567e-03 0.000000e+00 0.000000e+00
3.926991e-01 9.312994e-01 7.034952e-02 1.019658e+00 1.018950e+00 1.016322e+00 7.162056e-01 5.238059e-02 7.530314e-01 7.568152e-01 7.565224e-01 -2.406796e-01 0.000000e+00 0.000000e+00 -2.087821e-02 -4.025041e-02 1.164000e-02 -3.269046e-03 0.000000e+00 0.000000e+00
5.497787e-01 1.023035e+00 7.059525e-02 1.019658e+00 1.016021e+00 1.006215e+00 7.592753e-01 5.227557e-02 7.481019e-01 7.568152e-01 7.565224e-01 6.899918e-02 0.000000e+00 0.000000e+00 -2.030052e-02 1.071806e-02 1.095770e-02 -3.210537e-03 0.000000e+00 0.000000e+00
7.068583e-01 1.001453e+00 7.056126e-02 1.019658e+00 1.013487e+00 9.974624e-01 7.439688e-01 5.241286e-02 7.439836e-01 7.568152e-01 7.565224e-01 1.556050e-02 0.000000e+00 0.000000e+00 -1.773567e-02 2.472738e-03 1.121252e-02 -2.829603e-03 0.000000e+00 0.000000e+00
8.639380e-01 1.018108e+00 7.033827e-02 1.019658e+00 1.011595e+00 9.909211e-01 7.653588e-01 5.263958e-02 7.411035e-01 7.568152e-01 7.565224e-01 -9.671149e-02 0.000000e+00 0.000000e+00 -1.343473e-02 -1.507313e-02 1.094630e-02 -2.157663e-03 0.000000e+00 0.000000e+00
1.021018e+00 9.972572e-01 7.004556e-02 1.019658e+00 1.010532e+00 9.872313e-01 7.502829e-01 5.267697e-02 7.397743e-01 7.568152e-01 7.565224e-01 -2.853107e-02 0.000000e+00 0.000000e+00 -7.818710e-03 -4.552108e-03 1.117419e-02 -1.260455e-03 0.000000e+00 0.000000e+00
1.178097e+00 1.009721e+00 7.033345e-02 1.019658e+00 1.010400e+00 9.867543e-01 7.583596e-01 5.257545e-02 7.401525e-01 7.568152e-01 7.565224e-01 -9.840958e-02 0.000000e+00 0.000000e+00 -1.437336e-03 -1.546275e-02 1.103387e-02 -2.318298e-04 0.000000e+00 0.000000e+00
1.335177e+00 1.051711e+00 7.014736e-02 1.019658e+00 1.011213e+00 9.895368e-01 7.905827e-01 5.272303e-02 7.422115e-01 7.568152e-01 7.565224e-01 -1.772259e-02 0.000000e+00 0.000000e+00 5.084734e-03 -2.681696e-03 1.061386e-02 8.178103e-04 0.000000e+00 0.000000e+00
1.492257e+00 9.335931e-01 7.022293e-02 1.019658e+00 1.012891e+00 9.953063e-01 7.030235e-01 5.281531e-02 7.457403e-01 7.568152e-01 7.565224e-01 4.621216e-02 0.000000e+00 0.000000e+00 1.110907e-02 7.871626e-03 1.195667e-02 1.776328e-03 0.000000e+00 0.000000e+00
